"No.","Time","Source","Destination","Protocol","Length","Info"
"60","0.827352110","142.250.75.99","192.168.129.132","TCP","60","443  >  56278 [ACK] Seq=410 Ack=182 Win=64240 Len=0"
"61","0.832666289","192.168.129.132","142.250.75.99","TLSv1.2","89","Application Data"
"62","0.833232198","142.250.75.99","192.168.129.132","TCP","60","443  >  56278 [ACK] Seq=410 Ack=217 Win=64240 Len=0"
"63","1.552840378","192.168.129.132","212.143.195.14","TLSv1.2","2286","Application Data"
"64","1.553258001","192.168.129.132","212.143.195.14","TLSv1.2","2090","Application Data"
"65","1.553624550","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"66","1.553624991","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=1 Ack=2233 Win=64240 Len=0"
"67","1.553625055","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=1 Ack=3693 Win=64240 Len=0"
"68","1.553625115","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=1 Ack=4269 Win=64240 Len=0"
"69","1.568749513","212.143.195.14","192.168.129.132","TLSv1.2","1246","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"70","1.570303106","212.143.195.14","192.168.129.132","TLSv1.2","37047","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"71","1.572917932","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=38186 Win=65535 Len=0"
"72","1.574514997","212.143.195.14","192.168.129.132","TLSv1.2","35600","Application Data, Application Data, Application Data, Application Data"
"73","1.574634863","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=73732 Win=65535 Len=0"
"74","1.575082884","212.143.195.14","192.168.129.132","TLSv1.2","7114","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"75","1.575083212","212.143.195.14","192.168.129.132","TLSv1.2","21687","Application Data"
"76","1.575158922","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=102425 Win=65535 Len=0"
"77","1.575494081","212.143.195.14","192.168.129.132","TLSv1.2","8073","Application Data"
"78","1.575630277","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=110444 Win=65535 Len=0"
"79","1.580622194","212.143.195.14","192.168.129.132","TLSv1.2","39590","Application Data, Application Data"
"80","1.580939838","212.143.195.14","192.168.129.132","TCP","4290","443  >  54820 [PSH, ACK] Seq=149980 Ack=4269 Win=64240 Len=4236 [TCP PDU reassembled in 81]"
"81","1.580940322","212.143.195.14","192.168.129.132","TLSv1.2","20521","Application Data, Application Data"
"82","1.581035452","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=174683 Win=65535 Len=0"
"83","1.582269244","212.143.195.14","192.168.129.132","TLSv1.2","64293","Application Data, Application Data, Application Data, Application Data"
"84","1.582387418","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=238922 Win=65535 Len=0"
"85","1.583230739","212.143.195.14","192.168.129.132","TCP","9952","443  >  54820 [PSH, ACK] Seq=238922 Ack=4269 Win=64240 Len=9898 [TCP PDU reassembled in 87]"
"86","1.583362995","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=248820 Win=65535 Len=0"
"87","1.589048980","212.143.195.14","192.168.129.132","TLSv1.2","28294","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"88","1.589158874","212.143.195.14","192.168.129.132","TLSv1.2","11350","Application Data"
"89","1.589472880","212.143.195.14","192.168.129.132","TLSv1.2","18410","Application Data"
"90","1.589603267","212.143.195.14","192.168.129.132","TLSv1.2","6401","Application Data"
"91","1.589626229","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=306712 Win=65535 Len=0"
"92","1.589889261","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=313059 Win=65535 Len=0"
"93","1.590656158","212.143.195.14","192.168.129.132","TLSv1.2","57946","Application Data, Application Data, Application Data"
"94","1.590792704","212.143.195.14","192.168.129.132","TCP","6401","443  >  54820 [PSH, ACK] Seq=370951 Ack=4269 Win=64240 Len=6347 [TCP PDU reassembled in 97]"
"95","1.590820986","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=370951 Win=65535 Len=0"
"96","1.591109507","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=377298 Win=65535 Len=0"
"97","1.591577915","212.143.195.14","192.168.129.132","TLSv1.2","19972","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"98","1.591892484","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=4269 Ack=397216 Win=65535 Len=0"
"99","1.838127124","192.168.129.132","212.143.195.14","TLSv1.2","2286","Application Data"
"100","1.838719291","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=397216 Ack=5729 Win=64240 Len=0"
"101","1.838719606","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=397216 Ack=6501 Win=64240 Len=0"
"102","1.838772679","192.168.129.132","212.143.195.14","TLSv1.2","2090","Application Data"
"103","1.839230100","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=397216 Ack=7961 Win=64240 Len=0"
"104","1.839230183","212.143.195.14","192.168.129.132","TCP","60","443  >  54820 [ACK] Seq=397216 Ack=8537 Win=64240 Len=0"
"105","1.853022359","212.143.195.14","192.168.129.132","TLSv1.2","1557","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"106","1.853341562","192.168.129.132","212.143.195.14","TCP","54","54820  >  443 [ACK] Seq=8537 Ack=398719 Win=65535 Len=0"
"107","2.152290221","192.168.129.132","142.250.75.86","TLSv1.2","220","Application Data"
"108","2.153202848","192.168.129.132","142.250.75.86","TLSv1.2","220","Application Data"
"109","2.153327147","142.250.75.86","192.168.129.132","TCP","60","443  >  40844 [ACK] Seq=1 Ack=167 Win=64240 Len=0"
"110","2.153486942","192.168.129.132","142.250.75.86","TLSv1.2","386","Application Data, Application Data"
"111","2.153525859","142.250.75.86","192.168.129.132","TCP","60","443  >  40844 [ACK] Seq=1 Ack=333 Win=64240 Len=0"
"112","2.153721316","142.250.75.86","192.168.129.132","TCP","60","443  >  40844 [ACK] Seq=1 Ack=665 Win=64240 Len=0"
"113","2.153731474","192.168.129.132","142.250.75.86","TLSv1.2","220","Application Data"
"114","2.153911894","142.250.75.86","192.168.129.132","TCP","60","443  >  40844 [ACK] Seq=1 Ack=831 Win=64240 Len=0"
