"No.","Time","Source","Destination","Protocol","Length","Info"
"124","1.494966640","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=6118 Ack=19402 Win=64240 Len=0"
"125","1.495252494","192.168.129.132","142.250.75.37","TLSv1.2","291","Application Data"
"126","1.495544199","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=6118 Ack=19639 Win=64240 Len=0"
"127","1.497249027","142.250.75.46","192.168.129.132","TLSv1.2","818","Application Data, Application Data"
"128","1.497341162","192.168.129.132","142.250.75.46","TCP","54","43702  >  443 [ACK] Seq=2408 Ack=804 Win=65535 Len=0"
"129","1.498833826","142.250.75.46","192.168.129.132","TLSv1.2","124","Application Data, Application Data"
"130","1.498917823","192.168.129.132","142.250.75.46","TCP","54","43702  >  443 [ACK] Seq=2408 Ack=874 Win=65535 Len=0"
"131","1.499160953","192.168.129.132","142.250.75.46","TLSv1.2","89","Application Data"
"132","1.499361368","192.168.129.132","142.250.75.46","TLSv1.2","93","Application Data"
"133","1.499599328","142.250.75.46","192.168.129.132","TCP","60","443  >  43702 [ACK] Seq=874 Ack=2443 Win=64240 Len=0"
"134","1.499599623","142.250.75.46","192.168.129.132","TCP","60","443  >  43702 [ACK] Seq=874 Ack=2482 Win=64240 Len=0"
"135","1.622116800","142.250.75.37","192.168.129.132","TLSv1.2","1329","Application Data, Application Data"
"136","1.622684236","142.250.75.37","192.168.129.132","TLSv1.2","85","Application Data"
"137","1.623458818","142.250.75.37","192.168.129.132","TLSv1.2","93","Application Data"
"138","1.623519915","192.168.129.132","142.250.75.37","TCP","54","45462  >  443 [ACK] Seq=19639 Ack=7424 Win=65535 Len=0"
"139","1.624275215","192.168.129.132","142.250.75.37","TLSv1.2","93","Application Data"
"140","1.624631321","142.250.75.37","192.168.129.132","TCP","60","443  >  45462 [ACK] Seq=7463 Ack=19678 Win=64240 Len=0"
"141","1.674635546","192.168.129.132","142.250.75.110","TLSv1.2","176","Application Data"
"142","1.674980907","192.168.129.132","142.250.75.110","TLSv1.2","93","Application Data"
"143","1.675054221","192.168.129.132","142.250.75.110","TLSv1.2","2628","Application Data"
"144","1.675485150","142.250.75.110","192.168.129.132","TCP","60","443  >  52378 [ACK] Seq=1 Ack=123 Win=64240 Len=0"
"145","1.675680438","142.250.75.110","192.168.129.132","TCP","60","443  >  52378 [ACK] Seq=1 Ack=162 Win=64240 Len=0"
"146","1.675680533","142.250.75.110","192.168.129.132","TCP","60","443  >  52378 [ACK] Seq=1 Ack=1622 Win=64240 Len=0"
"147","1.675680605","142.250.75.110","192.168.129.132","TCP","60","443  >  52378 [ACK] Seq=1 Ack=2736 Win=64240 Len=0"
"148","1.681664549","142.250.75.110","192.168.129.132","TLSv1.2","93","Application Data"
"149","1.721969749","192.168.129.132","142.250.75.110","TCP","54","52378  >  443 [ACK] Seq=2736 Ack=40 Win=58485 Len=0"
"150","1.789521702","142.250.75.110","192.168.129.132","TLSv1.2","929","Application Data, Application Data"
"151","1.789573403","192.168.129.132","142.250.75.110","TCP","54","52378  >  443 [ACK] Seq=2736 Ack=915 Win=58485 Len=0"
"152","1.791226028","142.250.75.110","192.168.129.132","TLSv1.2","362","Application Data, Application Data, Application Data"
"153","1.791274195","192.168.129.132","142.250.75.110","TCP","54","52378  >  443 [ACK] Seq=2736 Ack=1223 Win=58485 Len=0"
"154","1.806068250","192.168.129.132","142.250.75.110","TLSv1.2","89","Application Data"
"155","1.806459436","192.168.129.132","142.250.75.110","TLSv1.2","93","Application Data"
"156","1.806656060","142.250.75.110","192.168.129.132","TCP","60","443  >  52378 [ACK] Seq=1223 Ack=2771 Win=64240 Len=0"
"157","1.806836284","142.250.75.110","192.168.129.132","TCP","60","443  >  52378 [ACK] Seq=1223 Ack=2810 Win=64240 Len=0"
"158","1.908094869","192.168.129.132","34.120.195.249","TLSv1.2","205","Application Data"
"159","1.908589255","34.120.195.249","192.168.129.132","TCP","60","443  >  48368 [ACK] Seq=1 Ack=152 Win=64240 Len=0"
"160","1.909945449","192.168.129.132","34.120.195.249","TLSv1.2","93","Application Data"
"161","1.910370781","34.120.195.249","192.168.129.132","TCP","60","443  >  48368 [ACK] Seq=1 Ack=191 Win=64240 Len=0"
"162","1.910549867","192.168.129.132","34.120.195.249","TLSv1.2","275","Application Data"
"163","1.910851941","34.120.195.249","192.168.129.132","TCP","60","443  >  48368 [ACK] Seq=1 Ack=412 Win=64240 Len=0"
"164","1.934337289","34.120.195.249","192.168.129.132","TLSv1.2","93","Application Data"
"165","1.975924844","192.168.129.132","34.120.195.249","TCP","54","48368  >  443 [ACK] Seq=412 Ack=40 Win=65535 Len=0"
"166","1.980335238","34.120.195.249","192.168.129.132","TLSv1.2","193","Application Data, Application Data, Application Data"
"167","1.980380895","192.168.129.132","34.120.195.249","TCP","54","48368  >  443 [ACK] Seq=412 Ack=179 Win=65535 Len=0"
"168","2.026052579","192.168.129.132","34.120.195.249","TLSv1.2","93","Application Data"
"169","2.026337218","192.168.129.132","34.120.195.249","TLSv1.2","89","Application Data"
"170","2.026581756","34.120.195.249","192.168.129.132","TCP","60","443  >  48368 [ACK] Seq=179 Ack=451 Win=64240 Len=0"
